id,bias,confidence,draw_level,draw_ref,reasons,tags,implied_dir
102411,long,3,29903.50,1H high at 06:00 Friday,daily bullish; in a 4H bullish FVG; rejecting off a 1H FVG and a 15m FVG,daily-bull;in-4h-fvg;reject-1h-fvg;reject-15m-fvg,
160425,short,2,15344.50,18:00 low,low-resistance liquidity down to that level; would wait for a sweep of PDH or a tap into the daily FVG at 15500 and a clean inversion,lrl-below;wait-pdh-sweep;daily-fvg-above;wait-inversion,
220251,long,2,29541.25,21:00 Wednesday high,low-resistance liquidity up to it and a 1H FVG right above; daily bullish; 4H overall bullish; 1H mild downtrend not strong; 15m shows the LRL,lrl-above;1h-fvg-above;daily-bull;4h-bull;1h-weak-down,
227794,long,1,13479.50,08:30 wick high (news candle),news candle high is a good draw; daily bullish; 4H bullish; 1H accumulating so low confidence; would go long on a strong inversion after a sweep of Monday 13:00 candle inside a 1H FVG,news-high-draw;daily-bull;4h-bull;1h-accumulating;wait-sweep;in-1h-fvg;wait-inversion,
348227,none,2,,none (lower),all timeframes bearish but no reachable FVG to tap within a day so no trade,all-bear;no-reachable-fvg,
406320,long,2,16427.00,ON high,relatively equal 15m lows and a 4H FVG; long on a strong inversion after those levels are taken,equal-lows-15m;4h-fvg;wait-sweep;wait-inversion,
421212,none,3,25356.25,ON high,low-resistance liquidity up to ON high,lrl-above,
496862,short,,15820.00,ON low,after a sweep of PDH look for a strong inversion toward ON low; ON low has relatively equal lows,wait-pdh-sweep;wait-inversion;equal-lows-onl,
517515,short,3,20017.75,PDL,low-resistance liquidity down to PDL; only after a sweep of PDH which sits in a daily FVG and a strong inversion out of it,lrl-below;wait-pdh-sweep;pdh-in-daily-fvg;wait-inversion,
597195,long,1,8321.00,ON high,not enough confluence; all timeframes bullish; would wait for a tap into the 15m/1H FVG and a strong inversion for longs,all-bull;low-confluence;wait-fvg-tap;wait-inversion,
756857,long,1,8743.50,PDH,15m seems to be accumulating; a long would be a strong IFVG off the 15m FVG price is in; other HTF FVGs too far,15m-accumulating;in-15m-fvg;htf-fvg-far,
768238,none,3,14553.75,ON low,between 15m FVGs; if trading would wait for a PDH sweep and a strong inversion to short toward ON low,between-fvgs;wait-pdh-sweep;wait-inversion,
770811,long,2,13756.25,ON high,daily FVG above ON high; all timeframes bullish; wait for a sweep of the lows in the 15m FVG at 04:45 and a strong inversion for longs,daily-fvg-above;all-bull;wait-sweep;wait-inversion,
808881,none,3,,none (lower),no reachable FVGs; all timeframes bearish so price likely keeps going lower,all-bear;no-reachable-fvg,
878524,short,2,14070.25,ON low,only setup is a rejection off the 1H FVG with a strong IFVG for shorts,reject-1h-fvg;wait-inversion,
883920,long,1,9096.50,PDH,after a tap into the 15m FVG below price wait for a strong inversion for longs,wait-fvg-tap;15m-fvg-below;wait-inversion,
905100,long,1,7982.00,PDH,do not like the confluence; would wait for a strong inversion off a sweep of ON low which sits in a daily FVG; PDH is the draw because HTFs are overall bullish,low-confluence;wait-onl-sweep;onl-in-daily-fvg;htf-bull,
970176,none,3,,none,between HTF FVGs so price can go either way,between-fvgs,
976546,none,1,18360.25,PDH,do not like the setup; price seems to be turning bullish but equal lows on the 15m at ON low,turning-bull;equal-lows-onl,
992014,short,3,28554.75,ON low,wait for a tap into the 1H or 15m FVG and a strong inversion off it,wait-fvg-tap;wait-inversion,
108765,none,2,14735.75,ON low,4H and 1H seem bearish; 15m low-resistance liquidity down to ON low,4h-bear;1h-bear;lrl-below,short
198420,long,1,7895.50,ON high,want a sweep of the low-resistance lows or a tap into the most recent 4H FVG then a strong inversion for longs,wait-sweep;4h-fvg;wait-inversion,
339495,long,1,11779.25,PDH,want a re-sweep of ON lows and a strong inversion targeting PDH; PDH lines up with a 4H FVG; could also be a short day if PDH is swept into the 4H FVG and inverts toward ON low (LRL below),wait-onl-sweep;wait-inversion;pdh-in-4h-fvg;either-way;lrl-below,
343736,long,1,26812.50,ON high,bullish on all timeframes; strong inversion off the most recent 15m FVG for longs; only one confluence so low confidence,all-bull;reject-15m-fvg;low-confluence,
393292,none,1,12395.25,ON low,low-resistance liquidity down to ON low,lrl-below,short
398680,none,1,16658.50,ON low,timeframes bearish but stuck between two daily FVGs and two 4H FVGs; price can go either way,tf-bear;between-fvgs,either
446581,none,1,7939.50,ON high,all timeframes accumulating; price between two 1H FVGs,accumulating;between-fvgs,either
542093,none,1,20908.75,ON low,"looks like a news day, price shot up ~100 points; no HTF FVG to manipulate off; 4H FVG too far",news-day;htf-fvg-far,either
552345,none,1,17468.75,ON high,stuck between two 4H FVGs; expect ON high to be hit because a 1H and a 4H FVG sit above it,between-fvgs;fvg-above-draw,long
564473,long,1,13751.75,ON high,break-even when price taps the most recent 1H FVG; want a sweep of ON low and a strong inversion; TP1 at the 04:15 candle,wait-onl-sweep;wait-inversion;1h-fvg,
635183,long,1,12882.50,PDH,"want a re-sweep of ON lows with a strong inversion, or a strong inversion off the most recent 15m FVG",wait-onl-sweep;wait-inversion;reject-15m-fvg,
657550,none,1,18227.50,ON low,"strong inversion off the most recent 15m FVG would send price to ON low, otherwise ON high",reject-15m-fvg;either-way,either
717943,short,1,27036.00,ON low,strong inversion off the 1H FVG price is in would give a short to ON low; not confident because the open is the most volatile time,in-1h-fvg;wait-inversion;open-volatility,
728264,none,1,17426.00,ON high,either way; 1H FVG with relatively equal highs inside it and relatively equal lows; expect a sweep of ON high and a strong inversion to short,equal-highs;equal-lows;wait-onh-sweep;wait-inversion,short
802219,none,3,12460.00,ON low,news at 05:30 with a strong bearish move; do not expect a return to the data highs; expect ON low taken and a tap into the most recent 4H FVG,news-day;bear-impulse;4h-fvg-below,short
877725,none,3,21708.50,ON low,"inside a daily, 4H and 1H FVG; expect a move lower because of the low-resistance liquidity below",in-daily-fvg;in-4h-fvg;in-1h-fvg;lrl-below,short
915276,short,1,11478.00,ON low,no reachable targets higher; low-resistance liquidity below down to the 1H FVG; not confident because price is in a 15m FVG with no other reachable HTF FVG,lrl-below;1h-fvg-below;in-15m-fvg;no-target-above,
920609,long,1,13146.00,ON low,expect a sweep of ON low and a strong inversion out of the 1H; no strong targets higher so not confident,wait-onl-sweep;wait-inversion;1h-fvg;no-target-above,
989398,none,3,13719.00,PDL,no strong targets above; 1H FVG and unmitigated 15m FVG above are too far; price bearish so expect PDL to be hit,no-target-above;htf-fvg-far;bearish,short
999250,short,2,8399.50,ON low,"strong inversion out of the daily, 4H and 1H FVG would give shorts toward ON low, maybe PDL, with low-resistance liquidity down to those levels",in-daily-fvg;in-4h-fvg;in-1h-fvg;wait-inversion;lrl-below,
125529,,,,,,,
177025,,,,,,,
182052,,,,,,,
191128,,,,,,,
254442,,,,,,,
293758,,,,,,,
313581,,,,,,,
391189,,,,,,,
405270,,,,,,,
436536,,,,,,,
452246,,,,,,,
453031,,,,,,,
470462,,,,,,,
572962,,,,,,,
662655,,,,,,,
730208,,,,,,,
800431,,,,,,,
825406,,,,,,,
836021,,,,,,,
963723,,,,,,,
